Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1,Counties,New York Zip Codes,NYS Municipal Boundaries
ENFIELD FIRE DEPARTMENT,55006,172 ENFIELD MAIN ROAD,ITHACA,NY,14850,55,Tompkins,6072728757,42.439672,-76.630702,"{'longitude': '-76.630702', 'latitude': '42.439672'}",2181,1786,722
EPHRATAH FIRE DEPARTMENT,18004,4305 ST HWY 10,ST JOHNSVILLE,NY,13452,18,Fulton,5189933182,43.03743,-74.66391,"{'longitude': '-74.66391', 'latitude': '43.03743'}",2085,1369,385
ERIEVILLE FIRE DEPARTMENT,27009,4085 EATONBROOK ROAD,ERIEVILLE,NY,13061,27,Madison,3156627375,42.851365,-75.753635,"{'longitude': '-75.753635', 'latitude': '42.851365'}",2092,617,129
ERIN FIRE DEPARTMENT,08008,1462 BREESPORT ROAD,ERIN,NY,14838,08,Chemung,6077393417,42.185947,-76.666193,"{'longitude': '-76.666193', 'latitude': '42.185947'}",2036,1777,482
ESOPUS FIRE DEPARTMENT,56013,PO BOX 177,ESOPUS,NY,12429,56,Ulster,8453846575,41.827467,-73.964921,"{'longitude': '-73.964921', 'latitude': '41.827467'}",2182,123,448
ESPERANCE FIRE DEPARTMENT,48007,115 CHURCH STREET PO BOX 84,ESPERANCE,NY,12066,48,Schoharie,5188756088,42.80027,-74.30734,"{'longitude': '-74.30734', 'latitude': '42.80027'}",624,1191,496
ESSEX FIRE DEPARTMENT NO. 1,16006,RTE 22W BOX 58,ESSEX,NY,12936,16,Essex,5189637619,44.23855,-73.40427,"{'longitude': '-73.40427', 'latitude': '44.23855'}",2084,267,406
ETNA FIRE DEPARTMENT,55003,26 WOOD ROAD PO BOX 300,ETNA,NY,13062,55,Tompkins,6073474511,42.485388,-76.39257,"{'longitude': '-76.39257', 'latitude': '42.485388'}",2181,1786,724
EVANS CENTER FIRE DEPARTMENT,15032,8298 ERIE ROAD PO BOX 193,ANGOLA,NY,14006,15,Erie,7165491221,42.63703,-79.04899,"{'longitude': '-79.04899', 'latitude': '42.63703'}",2041,483,299
EVANS MILLS FIRE DEPARTMENT,23020,8615 LERAY STREET,EVANS MILLS,NY,13637,23,Jefferson,3156294931,44.07548,-75.8184,"{'longitude': '-75.8184', 'latitude': '44.07548'}",2089,1520,852
FABIUS FIRE DEPARTMENT,34014,7825 MAIN STREET BOX 60,FABIUS,NY,13063,34,Onondaga,3156835362,42.85628,-75.99683,"{'longitude': '-75.99683', 'latitude': '42.85628'}",2132,619,710
FAIR HARBOR FIRE DEPARTMENT,52037,PO BOX 451,OCEAN BEACH,NY,11770,52,Suffolk,6315838546,40.637568,-73.204709,"{'longitude': '-73.204709', 'latitude': '40.637568'}",2179,1067,
FAIR HAVEN FIRE DEPARTMENT,06006,14430 FAIR HAVEN RD POB 334,FAIR HAVEN,NY,13064,06,Cayuga,3159475145,43.313855,-76.699919,"{'longitude': '-76.699919', 'latitude': '43.313855'}",618,693,72
FAIRMOUNT FIRE DEPARTMENT,34015,4611 W GENESEE ST,SYRACUSE,NY,13219,34,Onondaga,3154875811,43.044579,-76.247656,"{'longitude': '-76.247656', 'latitude': '43.044579'}",2132,733,675
FAIRPORT FIRE DEPARTMENT,28013,27 E CHURCH ST PO BOX 66124,FAIRPORT,NY,14450,28,Monroe,7162239220,43.098575,-77.440116,"{'longitude': '-77.440116', 'latitude': '43.098575'}",2093,231,546
FAIRVIEW FIRE DEPARTMENT,14009,258 VIOLET AVENUE,POUGHKEEPSIE,NY,12601,14,Dutchess,8454527543,41.729749,-73.910456,"{'longitude': '-73.910456', 'latitude': '41.729749'}",2040,1021,598
FAIRVIEW FIRE DEPARTMENT,60015,19 ROSEMONT BOULEVARD,WHITE PLAINS,NY,10607,60,Westchester,9149492828,41.044429,-73.792707,"{'longitude': '-73.792707', 'latitude': '41.044429'}",2185,1440,986
FAIRVILLE VOLUNTEER FIRE DEPT,59005,2963 ROUTE 88N,NEWARK,NY,14513,59,Wayne,3153311869,43.109635,-77.078749,"{'longitude': '-77.078749', 'latitude': '43.109635'}",631,324,652
FALCONER FIRE DEPARTMENT,07015,101 W MAIN STREET,FALCONER,NY,14733,07,Chautauqua,7166656208,42.117123,-79.197971,"{'longitude': '-79.197971', 'latitude': '42.117123'}",2035,1712,224
FANCHER-HULBERTON-MURRAY FD,37007,3353 HULBERTN RD PO BOX 195,FANCHER,NY,14452-0195,37,Orleans,5856388568,43.24446,-78.09112,"{'longitude': '-78.09112', 'latitude': '43.24446'}",626,240,501
FARMERSVILLE FIRE DEPARTMENT,05009,ELTON ROAD,FARMERSVILLE STATION,NY,14060,05,Cattaraugus,7166765717,42.428311,-78.359776,"{'longitude': '-78.359776', 'latitude': '42.428311'}",2034,516,369
FARMINGDALE FIRE DEPARTMENT,30014,361 MAIN STREET,FARMINGDALE,NY,11735,30,Nassau,5165319820,,,,,,
FARMINGTON FIRE DEPARTMENT,35008,1225 HOOK ROAD,FARMINGTON,NY,14425,35,Ontario,5857421894,42.975447,-77.348733,"{'longitude': '-77.348733', 'latitude': '42.975447'}",2133,179,822
FARMINGVILLE FIRE DEPARTMENT,52119,780 HORSEBLOCK ROAD,FARMINGVILLE,NY,11738,52,Suffolk,6317326611,40.831221,-73.030399,"{'longitude': '-73.030399', 'latitude': '40.831221'}",2179,1116,
FARNHAM FIRE DEPARTMENT,15033,526 COMMERCIAL ST,FARNHAM,NY,14061,15,Erie,7165495489,42.59301,-79.082918,"{'longitude': '-79.082918', 'latitude': '42.59301'}",2041,517,302
FAYETTEVILLE FIRE DEPARTMENT,34016,425 EAST GENESEE STREET,FAYETTEVILLE,NY,13066,34,Onondaga,3156376101,43.02976,-76.005992,"{'longitude': '-76.005992', 'latitude': '43.02976'}",2132,621,508
FAYETTE VOLUNTEER FIRE DEPT,50003,PO BOX 41,FAYETTE,NY,13065,50,Seneca,3155399241,42.8128,-76.81002,"{'longitude': '-76.81002', 'latitude': '42.8128'}",2144,689,593
FELTS MILLS FIRE DEPARTMENT,23021,30743 NYS ROUTE 3,FELTS MILLS,NY,13638,23,Jefferson,3157732604,44.01816,-75.7656,"{'longitude': '-75.7656', 'latitude': '44.01816'}",2089,1521,846
FINDLEY LAKE FIRE DEPARTMENT,07016,10372 MAIN ST PO BOX 158,FINDLEY LAKE,NY,14736,07,Chautauqua,7167697321,42.12942,-79.7416,"{'longitude': '-79.7416', 'latitude': '42.12942'}",2035,1714,207
FINE VOLUNTEER FIRE DEPARTMENT,45010,BOX 4,FINE,NY,13639,45,St. Lawrence,3158482861,44.244595,-75.136165,"{'longitude': '-75.136165', 'latitude': '44.244595'}",2140,1522,342
FIRE ISLAND PINES FIRE DEPT,52039,PO BOX 193,SAYVILLE,NY,11782,52,Suffolk,6315976860,40.665145,-73.068922,"{'longitude': '-73.068922', 'latitude': '40.665145'}",2179,1423,
FISHERS FIRE DEPARTMENT,35009,7853 MAIN ST PO BOX 397,FISHERS,NY,14453,35,Ontario,7169243451,43.0092,-77.46899,"{'longitude': '-77.46899', 'latitude': '43.0092'}",2133,413,800
FISHERS ISLAND FIRE DEPARTMENT,52038,CRESCENT AVENUE PO BOX 123,FISHERS ISLAND,NY,6390,52,Suffolk,6317887375,41.264084,-72.015732,"{'longitude': '-72.015732', 'latitude': '41.264084'}",,716,
FISHERS LANDING FIRE DEPARTMENT,23022,42038 CO RTE 195,FISHERS LANDING,NY,13641,23,Jefferson,3156862924,44.27738,-76.00709,"{'longitude': '-76.00709', 'latitude': '44.27738'}",2089,1524,850
FISHKILL FIRE DEPARTMENT,14010,1132 MAIN STREET,FISHKILL,NY,12524,14,Dutchess,8458966613,41.535695,-73.901408,"{'longitude': '-73.901408', 'latitude': '41.535695'}",2040,968,572
FIVE MILE POINT FIRE DEPARTMENT,04013,16 CRESCENT DRIVE,KIRKWOOD,NY,13795,04,Broome,6077753322,42.091499,-75.822996,"{'longitude': '-75.822996', 'latitude': '42.091499'}",2033,431,946
FLANDERS FIRE DEPARTMENT,52040,19 FIREHOUSE LANE,FLANDERS,NY,11901,52,Suffolk,6317270758,40.904209,-72.621302,"{'longitude': '-72.621302', 'latitude': '40.904209'}",2179,1530,
FLEISCHMANNS FIRE DEPARTMENT,13013,1298 MAIN STREET,FLEISCHMANNS,NY,12430,13,Delaware,9142545924,42.20351,-74.48996,"{'longitude': '-74.48996', 'latitude': '42.20351'}",2087,124,770
FLEMING #1 FIRE DEPARTMENT,06007,6063 WEST LAKE ROAD,AUBURN,NY,13021,06,Cayuga,3152526902,42.895616,-76.551042,"{'longitude': '-76.551042', 'latitude': '42.895616'}",618,343,88
FLEMING #2 FIRE DEPARTMENT,06008,5024 STATE RT 34,AUBURN,NY,13021,06,Cayuga,3152527371,42.92239,-76.56369,"{'longitude': '-76.56369', 'latitude': '42.92239'}",618,343,97
FLORAL PARK CENTRE FIRE DEPT,30016,94 MC KEE STREET,FLORAL PARK CENTRE,NY,11001,30,Nassau,5167754127,40.732673,-73.696448,"{'longitude': '-73.696448', 'latitude': '40.732673'}",2094,859,67
FLORAL PARK FIRE DEPARTMENT,30015,ONE FLORAL BLVD,FLORAL PARK,NY,11001,30,Nassau,5163266327,40.723759,-73.70527,"{'longitude': '-73.70527', 'latitude': '40.723759'}",2094,859,54
FLORENCE FIRE DEPARTMENT,33012,R D #3 CAMDEN  BOX 176,FLORENCE,NY,13316,33,Oneida,3152451028,43.442782,-75.753987,"{'longitude': '-75.753987', 'latitude': '43.442782'}",625,773,930
FLORIDA FIRE DEPARTMENT,29012,193 THAYER ROAD,AMSTERDAM,NY,12010,29,Montgomery,,42.6267,-73.36018,"{'longitude': '-73.36018', 'latitude': '42.6267'}",2138,1149,159
FLORIDA FIRE DEPARTMENT,36012,PO BOX 600,FLORIDA,NY,10921,36,Orange,9146517754,41.331179,-74.35652,"{'longitude': '-74.35652', 'latitude': '41.331179'}",2134,1501,886
FLOYD FIRE DEPARTMENT,33013,CAMRODEN ROAD,ROME,NY,13440,33,Oneida,,43.220014,-75.334565,"{'longitude': '-75.334565', 'latitude': '43.220014'}",625,1366,929
FLUVANNA FIRE DEPARTMENT,07017,3536 FLUVANNA AVE EXT,JAMESTOWN,NY,14701,07,Chautauqua,7164838505,42.11889,-79.290769,"{'longitude': '-79.290769', 'latitude': '42.11889'}",2035,1687,224
FLY CREEK VOLUNTEER FIRE DEPT,39005,832 CO HWY 26 PO BOX 218,FLY CREEK,NY,13337,39,Otsego,6075475469,42.75162,-74.98373,"{'longitude': '-74.98373', 'latitude': '42.75162'}",2136,549,904
FONDA FIRE DEPARTMENT,29007,PO BOX 71,FONDA,NY,12068,29,Montgomery,5188531372,42.954518,-74.373668,"{'longitude': '-74.373668', 'latitude': '42.954518'}",624,1217,488
FORESTBURG FIRE COMPANY,53006,2539 STATE RTE 42 PO BOX 61,FORESTBURGH,NY,12777,53,Sullivan,8457947899,41.567476,-74.740423,"{'longitude': '-74.740423', 'latitude': '41.567476'}",2180,1094,674
FORESTPORT FIRE DEPARTMENT,33014,11965 RIVER ROAD,FORESTPORT,NY,13338,33,Oneida,3153924741,43.442565,-75.206976,"{'longitude': '-75.206976', 'latitude': '43.442565'}",625,550,928
FOREST VIEW-GANG MILLS FIRE DEPT,51017,3 JAY E ALLEN DRIVE,PAINTED POST,NY,14870,51,Steuben,6079628711,42.14165,-77.124788,"{'longitude': '-77.124788', 'latitude': '42.14165'}",2178,56,39
FORESTVILLE FIRE DEPARTMENT,07018,18 CHESTNUT ST PO BOX 299,FORESTVILLE,NY,14062,07,Chautauqua,7169654106,42.468965,-79.179586,"{'longitude': '-79.179586', 'latitude': '42.468965'}",2035,518,237
FORKS HOSE FIRE DEPARTMENT,15034,3330 BROADWAY,CHEEKTOWAGA,NY,14227,15,Erie,7166838668,42.903873,-78.751995,"{'longitude': '-78.751995', 'latitude': '42.903873'}",2041,162,304
FORT ANN VOLUNTEER FIRE COMPANY,58006,8 CHARLES STREET PO BOX 305,FORT ANN,NY,12827,58,Washington,5186398811,43.416661,-73.487889,"{'longitude': '-73.487889', 'latitude': '43.416661'}",2184,91,737
FORT COVINGTON FIRE DEPARTMENT,17008,2454 STATE RT 37 PO BOX 447,FORT COVINGTON,NY,12937,17,Franklin,5183582990,44.987785,-74.498327,"{'longitude': '-74.498327', 'latitude': '44.987785'}",621,268,194
FORT EDWARD FIRE DEPARTMENT,58007,114 BROADWAY,FT EDWARD,NY,12828,58,Washington,5187475127,43.267413,-73.585013,"{'longitude': '-73.585013', 'latitude': '43.267413'}",2184,92,736
FORT HUNTER FIRE DEPARTMENT,29008,PO BOX 181,FORT HUNTER,NY,12069,29,Montgomery,5188297300,42.951,-74.29108,"{'longitude': '-74.29108', 'latitude': '42.951'}",624,10,488
FORT HUNTER FIRE DEPARTMENT,01011,3525 CARMAN ROAD,SCHENECTADY,NY,12303,01,Albany,5183552434,42.7403,-73.942101,"{'longitude': '-73.942101', 'latitude': '42.7403'}",2030,72,806
FORT JOHNSON FIRE DEPARTMENT,29009,2 PROSPECT STREET,FORT JOHNSON,NY,12070,29,Montgomery,5188431269,42.957528,-74.239532,"{'longitude': '-74.239532', 'latitude': '42.957528'}",624,1219,499
FORT MONTGOMERY FIRE DEPARTMENT,36013,PO BOX 71,FORT MONTGOMERY,NY,10922,36,Orange,8454465102,41.332666,-73.986314,"{'longitude': '-73.986314', 'latitude': '41.332666'}",2134,1502,875
FORT PLAIN FIRE DEPARTMENT,29010,168 CANAL STREET,FORT PLAIN,NY,13339,29,Montgomery,5189934271,42.93363,-74.624674,"{'longitude': '-74.624674', 'latitude': '42.93363'}",624,551,495
FRANKFORT CENTER FIRE DEPARTMENT,22007,799 CENTER ROAD,FRANKFORT,NY,13340,22,Herkimer,3157331937,43.068163,-75.153911,"{'longitude': '-75.153911', 'latitude': '43.068163'}",2088,552,698
FRANKFORT FIRE DEPARTMENT,22006,158 SOUTH LITCHFIELD STREET,FRANKFORT,NY,13340,22,Herkimer,3158945621,43.038152,-75.073291,"{'longitude': '-75.073291', 'latitude': '43.038152'}",2088,552,698
FRANKFORT HILL FIRE DEPARTMENT,22008,2235 ALBANY ROAD,FRANKFORT,NY,13340,22,Herkimer,3155340613,43.03529,-75.184729,"{'longitude': '-75.184729', 'latitude': '43.03529'}",2088,552,698
FRANKLIN FIRE DEPARTMENT,13014,351 MAIN STREET,FRANKLIN,NY,13775,13,Delaware,6078292802,42.341664,-75.164318,"{'longitude': '-75.164318', 'latitude': '42.341664'}",2039,390,576
FRANKLIN SQUARE-MUNSON FIRE DEPT,30017,841 LIBERTY PLACE,FRANKLIN SQUARE,NY,11010,30,Nassau,5163542110,40.706055,-73.670534,"{'longitude': '-73.670534', 'latitude': '40.706055'}",2094,863,54
FRANKLINVILLE FIRE DEPARTMENT,05010,75 NORTH MAIN ST PO BOX 74,FRANKLINVILLE,NY,14737,05,Cattaraugus,7166762539,42.342979,-78.455747,"{'longitude': '-78.455747', 'latitude': '42.342979'}",2034,1715,366
FREDONIA FIRE DEPARTMENT,07019,80 WEST MAIN STREET,FREDONIA,NY,14063,07,Chautauqua,7166722124,42.438063,-79.33336,"{'longitude': '-79.33336', 'latitude': '42.438063'}",2035,519,214
FREEHOLD FIRE DEPARTMENT,20010,PO BOX 128,FREEHOLD,NY,12431,20,Greene,5186347746,42.34101,-74.02838,"{'longitude': '-74.02838', 'latitude': '42.34101'}",2087,88,778
FREEPORT FIRE DEPARTMENT,30018,46 N OCEAN AVE,FREEPORT,NY,11520,30,Nassau,5163772190,40.658,-73.582952,"{'longitude': '-73.582952', 'latitude': '40.658'}",2094,1356,54
FREEVILLE FIRE DEPARTMENT,55007,21 UNION ST PO BOX 129,FREEVILLE,NY,13068,55,Tompkins,6078449662,42.512324,-76.34667,"{'longitude': '-76.34667', 'latitude': '42.512324'}",2181,622,724
FREMONT VOLUNTEER FIRE DEPT,51018,PO BOX 462,ARKPORT,NY,14807,51,Steuben,6073244133,42.39426,-77.69659,"{'longitude': '-77.69659', 'latitude': '42.39426'}",2178,1754,35
FREWSBURG FIRE DEPARTMENT,07020,88 W MAIN ST PO BOX 590,FREWSBURG,NY,14736,07,Chautauqua,7165693505,42.052705,-79.163838,"{'longitude': '-79.163838', 'latitude': '42.052705'}",2035,1716,231
FRIENDSHIP FIRE DEPARTMENT,02017,3 DEPOT STREET PO BOX 503,FRIENDSHIP,NY,14739,02,Allegany,5859732371,42.208223,-78.133936,"{'longitude': '-78.133936', 'latitude': '42.208223'}",2031,1717,465
FRONTIER FIRE DEPARTMENT,32005,2176 LIBERTY DR,NIAGARA FALLS,NY,14304,32,Niagara,7162835700,43.073545,-78.93181,"{'longitude': '-78.93181', 'latitude': '43.073545'}",2131,168,143
FULLER ROAD FIRE DEPARTMENT,01012,1342 CENTRAL AVENUE,ALBANY,NY,12205,01,Albany,5184894421,42.702595,-73.815808,"{'longitude': '-73.815808', 'latitude': '42.702595'}",2030,42,808
FULTON FIRE DEPARTMENT,38003,170 SOUTH 2ND STREET,FULTON,NY,13069,38,Oswego,3155927477,43.321289,-76.414969,"{'longitude': '-76.414969', 'latitude': '43.321289'}",2135,623,260
FULTONVILLE FIRE DEPARTMENT,29011,PO BOX 241,FULTONVILLE,NY,12072,29,Montgomery,5188534522,42.946385,-74.369183,"{'longitude': '-74.369183', 'latitude': '42.946385'}",624,1221,497
GAINESVILLE FIRE DEPARTMENT,61008,2 EAST STREET   PO BOX 353,GAINESVILLE,NY,14066,61,Wyoming,7164932273,42.641047,-78.134046,"{'longitude': '-78.134046', 'latitude': '42.641047'}",2186,521,411
GALLUPVILLE VOLUNTEER FIRE DEPT,48008,FACTORY STREET,GALLUPVILLE,NY,12073,48,Schoharie,5188721594,42.66266,-74.23263,"{'longitude': '-74.23263', 'latitude': '42.66266'}",629,1404,130
GALWAY VOLUNTEER FIRE COMPANY,46009,BOX 151   5237 SOUTH ST,GALWAY,NY,12074,46,Saratoga,5188829159,43.01483,-74.03101,"{'longitude': '-74.03101', 'latitude': '43.01483'}",2141,1222,943
GANSEVOORT FIRE DEPARTMENT,46010,PO BOX 172 / GANSEVOORT RD,GANSEVOORT,NY,12831,46,Saratoga,5187924396,43.16865,-73.7107,"{'longitude': '-73.7107', 'latitude': '43.16865'}",2141,93,987
GARDEN CITY FIRE DEPARTMENT,30019,347 STEWART AVENUE,GARDEN CITY,NY,11530,30,Nassau,5167461301,40.726303,-73.636,"{'longitude': '-73.636', 'latitude': '40.726303'}",2094,1357,54
GARDEN CITY PARK FIRE DEPARTMENT,30020,2264 JERICHO TURNPIKE,GARDEN CITY PARK,NY,11040,30,Nassau,5167412718,40.739666,-73.66562,"{'longitude': '-73.66562', 'latitude': '40.739666'}",2094,869,67
GARDINER FIRE DEPARTMENT,56014,PO BOX 271,GARDINER,NY,12525,56,Ulster,6142557354,41.67809,-74.16217,"{'longitude': '-74.16217', 'latitude': '41.67809'}",2182,969,446
GARNET LAKE FIRE DEPARTMENT,57006,GARNET LAKE ROAD BOX 167,JOHNSBURG,NY,12843,57,Warren,5182515911,43.521746,-73.946263,"{'longitude': '-73.946263', 'latitude': '43.521746'}",2183,156,826
GARRATTSVILLE FIRE COMPANY,39006,4413 STATE RTE 51,GARRATTSVILLE,NY,13342,39,Otsego,6079658536,42.44623,-75.34364,"{'longitude': '-75.34364', 'latitude': '42.44623'}",2136,460,914
GARRISON VOLUNTEER FIRE COMPANY,40005,PO BOX 252 UPPER STATION RD,GARRISON,NY,10524,40,Putnam,8454243886,41.36127,-73.91776,"{'longitude': '-73.91776', 'latitude': '41.36127'}",627,1246,114
GASPORT FIRE DEPARTMENT,32006,8412 STATE ST BOX 345,GASPORT,NY,14067,32,Niagara,7167727751,43.19942,-78.573716,"{'longitude': '-78.573716', 'latitude': '43.19942'}",2131,522,162
GATES FIRE DISTRICT,28014,2355 CHILI AVENUE,ROCHESTER,NY,14624,28,Monroe,5854267932,43.129246,-77.695826,"{'longitude': '-77.695826', 'latitude': '43.129246'}",2093,1683,556
GENEGANTSLET FIRE DEPARTMENT,09007,PO BOX 151,SMITHVILLE FLATS,NY,13841,09,Chenango,6076564382,42.39885,-75.83935,"{'longitude': '-75.83935', 'latitude': '42.39885'}",2037,458,265
GENESEO FIRE DEPARTMENT,26008,PO BOX 428,GENESEO,NY,14454,26,Livingston,7162431200,42.794404,-77.800585,"{'longitude': '-77.800585', 'latitude': '42.794404'}",2091,232,758
GENEVA FIRE DEPARTMENT,35011,47 CASTLE STREET,GENEVA,NY,14456,35,Ontario,3157896305,42.867905,-76.982723,"{'longitude': '-76.982723', 'latitude': '42.867905'}",2133,233,819
GENOA FIRE DEPARTMENT,06009,10015 RT 90,GENOA,NY,13071,06,Cayuga,3154970009,42.66778,-76.538061,"{'longitude': '-76.538061', 'latitude': '42.66778'}",618,624,87
GEORGETOWN FIRE DEPARTMENT,27010,PO BOX 215,GEORGETOWN,NY,13072,27,Madison,3158374645,42.76538,-75.76438,"{'longitude': '-75.76438', 'latitude': '42.76538'}",2092,625,146
GERMANTOWN FIRE DEPARTMENT,11013,PO BOX 331,GERMANTOWN,NY,12526,11,Columbia,5185375735,42.133057,-73.884509,"{'longitude': '-73.884509', 'latitude': '42.133057'}",619,970,527
GERRY FIRE DEPARTMENT,07021,4490 GERRY LEVNT RD POB 182,GERRY,NY,14740,07,Chautauqua,7169854648,42.192985,-79.248063,"{'longitude': '-79.248063', 'latitude': '42.192985'}",2035,1718,221
GETZVILLE FIRE DEPARTMENT,15035,630 DODGE RD  PO BOX 111,GETZVILLE,NY,14068,15,Erie,7166880116,43.024255,-78.769277,"{'longitude': '-78.769277', 'latitude': '43.024255'}",2041,523,308
GHENT FIRE DEPARTMENT,11014,PO BOX 32,GHENT,NY,12075,11,Columbia,5183923838,42.326275,-73.61947,"{'longitude': '-73.61947', 'latitude': '42.326275'}",619,1223,525
GIBSON VOLUNTEER FIRE DEPARTMENT,51019,2965 MAIN STREET PO BOX 210,CORNING,NY,14830,51,Steuben,6079624182,42.14232,-77.04497,"{'longitude': '-77.04497', 'latitude': '42.14232'}",2178,1774,43
GILBERTSVILLE FIRE DEPARTMENT,39007,14 MARION AVE PO BOX 72,GILBERTSVILLE,NY,13776,39,Otsego,6077832520,42.44623,-75.34364,"{'longitude': '-75.34364', 'latitude': '42.44623'}",2136,460,914
GLASCO FIRE COMPANY,56015,PO BOX 157,GLASCO,NY,12432,56,Ulster,9142466353,42.04337,-73.94904,"{'longitude': '-73.94904', 'latitude': '42.04337'}",2182,126,427
GLEN AUBREY FIRE DEPARTMENT,04014,PO BOX 328,GLEN AUBREY,NY,13777,04,Broome,6076928230,42.2457,-75.98993,"{'longitude': '-75.98993', 'latitude': '42.2457'}",2033,392,941
GLEN COVE FIRE DEPARTMENT,30021,10 GLEN COVE AVE,GLEN COVE,NY,11542,30,Nassau,5166760366,40.86112,-73.634028,"{'longitude': '-73.634028', 'latitude': '40.86112'}",2094,1358,68
GLENFIELD FIRE DEPARTMENT (3-G),25006,6042 MAIN STREET,GLENFIELD,NY,13343,25,Lewis,3153762135,43.706855,-75.405001,"{'longitude': '-75.405001', 'latitude': '43.706855'}",623,555,617
GLEN FIRE DEPARTMENT,29013,134 AURIESVILLE RD,FULTONVILLE,NY,12072,29,Montgomery,5189226422,42.896503,-74.3429,"{'longitude': '-74.3429', 'latitude': '42.896503'}",624,1221,497
GLENHAM FIRE DEPARTMENT,14011,76 OLD GLENHAM RD POB 391,GLENHAM,NY,12527,14,Dutchess,8458312322,41.51973,-73.93738,"{'longitude': '-73.93738', 'latitude': '41.51973'}",2040,971,572
GLEN PARK FIRE DEPARTMENT,23023,630 MAIN ST,GLEN PARK,NY,13601,23,Jefferson,3157825674,43.999812,-75.957651,"{'longitude': '-75.957651', 'latitude': '43.999812'}",2089,1466,858
GLENS FALLS FIRE DEPARTMENT,57007,134 RIDGE STREET,GLENS FALLS,NY,12801,57,Warren,5187613823,43.31394,-73.643714,"{'longitude': '-73.643714', 'latitude': '43.31394'}",2183,783,820
GLENVILLE HILLS FIRE DEPARTMENT,47008,1086 CHURCH ROAD,GLENVILLE,NY,12302,47,Schenectady,5183773002,42.892723,-73.994976,"{'longitude': '-73.994976', 'latitude': '42.892723'}",2142,50,120
GLENWOOD FIRE DEPARTMENT,30022,PO BOX 403,GLENWOOD LANDING,NY,11547,30,Nassau,5166762822,40.827506,-73.644874,"{'longitude': '-73.644874', 'latitude': '40.827506'}",2094,1360,66
GLOVERSVILLE FIRE DEPARTMENT,18005,5 FRONTAGE ROAD,GLOVERSVILLE,NY,12078,18,Fulton,5187253125,43.051136,-74.348805,"{'longitude': '-74.348805', 'latitude': '43.051136'}",2085,1227,392
GOLDEN GLOW FIRE DEPT,08009,39 ALVORD DR PO BOX 3045,ELMIRA,NY,14902,08,Chemung,6077344474,42.084094,-76.872496,"{'longitude': '-76.872496', 'latitude': '42.084094'}",2036,929,492
GOLDENS BRIDGE FIRE DEPARTMENT,60016,254 WACCABUE ROAD BOX 127,GOLDENS BRIDGE,NY,10526,60,Westchester,9142324530,41.297392,-73.641561,"{'longitude': '-73.641561', 'latitude': '41.297392'}",2185,1254,984
GOOD WILL FIRE DEPARTMENT,36014,1 SOUTH PLANK ROAD,NEWBURGH,NY,12550,36,Orange,9145621129,41.51058,-74.046649,"{'longitude': '-74.046649', 'latitude': '41.51058'}",2134,987,891
GORDON HEIGHTS FIRE DEPARTMENT,52041,PO BOX 26,MIDDLE ISLAND,NY,11953,52,Suffolk,6317323891,40.854371,-72.966368,"{'longitude': '-72.966368', 'latitude': '40.854371'}",2179,1313,
GORHAM FIRE CO,35012,4676 KEARNEY ROAD,GORHAM,NY,14461,35,Ontario,5855265363,42.80147,-77.136839,"{'longitude': '-77.136839', 'latitude': '42.80147'}",2133,412,817
GOSHEN FIRE DEPARTMENT,36016,PO BOX 946,GOSHEN,NY,10924,36,Orange,8452943448,41.403121,-74.325794,"{'longitude': '-74.325794', 'latitude': '41.403121'}",2134,1504,877
GOUVERNEUR FIRE DEPARTMENT,45011,33 CLINTON STREET,GOUVERNEUR,NY,13642,45,St. Lawrence,3152871537,44.336151,-75.469712,"{'longitude': '-75.469712', 'latitude': '44.336151'}",2140,1525,337
GOWANDA FIRE DEPARTMENT,05012,230 ALDRICH STREET,GOWANDA,NY,14070,05,Cattaraugus,7165323434,42.468796,-78.941678,"{'longitude': '-78.941678', 'latitude': '42.468796'}",2034,525,289
GRAFTON VOL FIRE DEPT,42013,2385 RTE 2,GRAFTON,NY,12082,42,Rensselaer,5182793606,42.76533,-73.47663,"{'longitude': '-73.47663', 'latitude': '42.76533'}",2138,1178,138
GRAHAMSVILLE FIRE DEPARTMENT,53007,205 MAIN STREET PO BOX 331,GRAHAMSVILLE,NY,12740,53,Sullivan,8459852260,41.84675,-74.54237,"{'longitude': '-74.54237', 'latitude': '41.84675'}",2180,1050,643
GRANBY CENTER FIRE DEPARTMENT,38010,PO BOX 358,FULTON,NY,13069,38,Oswego,3155987187,43.325472,-76.465695,"{'longitude': '-76.465695', 'latitude': '43.325472'}",2135,623,258
GRAND GORGE HOSE FIRE DEPARTMENT,13015,37429 ST HWY 23 PO BOX 40,GRAND GORGE,NY,12434,13,Delaware,6075886666,42.42875,-74.652,"{'longitude': '-74.652', 'latitude': '42.42875'}",2039,1412,551
GRAND ISLAND FIRE DEPARTMENT,15037,2275 BASELINE ROAD,GRAND ISLAND,NY,14072,15,Erie,7167734334,43.02392,-78.965687,"{'longitude': '-78.965687', 'latitude': '43.02392'}",2041,526,298
GRANVILLE FIRE DEPARTMENT,58008,42 QUAKER STREET,GRANVILLE,NY,12832,58,Washington,5186422401,43.38596,-73.30918,"{'longitude': '-73.30918', 'latitude': '43.38596'}",2184,94,669
